公司名称,公司电话,公司类型,人数规模,账号,密码
上海芮路健康管理有限公司,021-2890678,A轮,10-100,company1,123456
叮咚买菜,021-2791678,D轮,100-500,company2,123456
上海英伦宝贝儿童用品有限公司,021-2879878,A轮,10-100,company2,123456
上海焙易信息技术有限公司,021-2569478,A轮,10-100,company3,123456
上海净信实业发展有限公司,021-2568488,A轮,10-100,company4,123456
安创蓓康生物科技有限公司,021-2898653,C轮,100-1500,company5,123456
温州海螺集团有限公司,021-2562678,B轮,10-100,company6,123456
鑫橼(上海)农业科技发展有限公司,021-2899278,C轮,100-500,company7,123456
上海新帑实业有限公司,021-2872478,C轮,1000-5000,company8,123456
斯托纳(上海)净水系统有限公司,021-2857542,C轮,100-500,company9,123456
上海誉沁建筑装饰材料有限公司,021-2884678,B轮,100-500,company10,123456
德邦物流,021-2875698,D轮,100-500,company11,123456
上海礼莱广告有限公司,021-2954678,A轮,10-100,company12,123456
昂高化工(中国)有限公司,021-2886678,D轮,100-500,company13,123456
上海帆维通信技术有限公司,021-2478998,C轮,100-500,company14,123456
平安好医投资管理有限公司,021-3789678,C轮,10-100,company15,123456
上海吉小果实业有限公司,021-7290678,B轮,10-100,company16,123456
珍岛集团,021-2898678,B轮,100-200,company17,123456
核聚信息科技（上海）有限公司,021-2758978,C轮,10-100,company18,123456
埃摩森,021-2890998,C轮,10-100,company19,123456
